Tamanho,Elementos,FatorCarga,Colisoes,EnderecosUsados,PorcentagemEnderecos,TempoExecucao,Qtd_0,Qtd_1,Qtd_2,Qtd_3,Qtd_4,Qtd_5,Qtd_6,Qtd_7,Qtd_8,Qtd_9,Qtd_10,Qtd_>10
853,853,1,321,532,62.3681,2.997,321,303,157,55,14,3,0,0,0,0,0,0
1000,853,0.853,291,562,56.2,3.005,438,349,148,54,9,2,0,0,0,0,0,0
1500,853,0.568667,208,645,43,2.998,855,481,130,25,8,1,0,0,0,0,0,0
2000,853,0.4265,176,677,33.85,2.003,1323,525,130,20,2,0,0,0,0,0,0,0
2500,853,0.3412,142,711,28.44,3.006,1789,585,112,12,2,0,0,0,0,0,0,0
