Tamanho,Elementos,FatorCarga,Colisoes,EnderecosUsados,PorcentagemEnderecos,TempoExecucao,Qtd_0,Qtd_1,Qtd_2,Qtd_3,Qtd_4,Qtd_5,Qtd_6,Qtd_7,Qtd_8,Qtd_9,Qtd_10,Qtd_>10
853,853,1,336,517,60.6096,0.629,336,282,161,53,15,6,0,0,0,0,0,0
1000,853,0.853,308,545,54.5,1.295,455,324,164,38,13,2,3,1,0,0,0,0
1500,853,0.568667,248,605,40.3333,1.194,895,425,130,38,7,4,1,0,0,0,0,0
2000,853,0.4265,215,638,31.9,0.605,1362,476,123,28,9,1,1,0,0,0,0,0
2500,853,0.3412,202,651,26.04,0.704,1849,498,116,27,8,2,0,0,0,0,0,0
